Piston Motors,,,,,,,,,,,,
Voltage,220v,12v,24v,110v,240v,,,,,,,
Power,21.9kw,17.2kw,12.7 Kw,21.9 Kw,,,,,,,,
Speed,2900rpm,2200rpm,4500rpm,2800rpm,Variable Speed,5rpm,35rpm,Low Speed,5500rpm,,,
Phase,Single-phase,Three-phase,,,,,,,,,,
Frequency,50hz,60hz,,,,,,,,,,
Usage,Water,Air Pump,Pump,Accessories,Industry,Universal Testing Machine,Industrial,Medical,Electric Bicycle,Universal,Fan,Hydraulic Equipment
