Slip Ring Motors,,,,,,,,,,,,,,,,
Voltage,380v,6.6kv,3.3kv ,13.8kv,11kv,10kv,6kv,660v,3kv ,690v,440v,415v,3000v ,10kv,,
Power,160kw,6000kw,1250KW,2800kw,4KW,3kw,500kw,250kw,160kw,40w,5600KW,100kw,10000kw,55KW,355kw,1200kw
Speed,Constant Speed,Variable Speed,2900rpm  ,1400rpm,960rpm,660rpm,440rpm,5rpm,3000rpm,1500rpm,2300rpm,Low Speed,1000rpm,,,
Phase,Three-phase,Single-phase,,,,,,,,,,,,,,
Frequency,50hz,60HZ,,,,,,,,,,,,,,
Usage,Mill Machine,lift Machine,Industry,Industrial,Balancing Machine,Universal,Electric Tool,Finger,Drawing Wire,Pump,Home Appliance,mill ,cement,,,
