Shaded Pole Motors,,,,,,,,,,,,,,,,,
Voltage,240V,208V,230V,100V,120V,115V,110V,220V,380v,110vac,220vac,48v,24v,,,,
Power,20w,5W,35W,10.3W,100w,50w,1000W,500w,40w,300w,10w,,,,,,
Speed,8000rpm,High Speed,Constant Speed,2550rpm,3100Rpm,1300rpm,1.5rpm,75rpm,2rpm,10rpm,45rpm,1550rpm,2300rpm,960rpm,1500rpm,1480rpm,2960rpm
Phase,Single-phase,Three-phase,,,,,,,,,,,,,,,
Frequency,50hz,60hz,,,,,,,,,,,,,,,
Usage,Household Appliance,Fan,home Appliance,humidifier,Industrial,Balancing Machine,Winding,Universal,Oven,Pellet Stove Exhaust Blower,disinfection Cabinet,,,,,,
