Carbon Brush Motors,,,,,,,,,,,,,,,,
Voltage,12 V Dc,6v,24v,220v,24v Dc,3v Dc,3v,2v,2.5v,12v,,,,,,
Power,1200w,2w,9.95w,2.6w,1.5w,0.5w,6.5w,3w,1w,0.35w,13.5w,2.58w,5w,50.0w,10w,1.6w
Speed,6000-9000rpm,1415rpm No Load,8800 Rpm,3rpm,38rpm,155rpm,1500rpm ,1032rpm,7800Rpm,100rpm,320rpm,48rpm,10rpm,21rpm,,
Phase,Single-phase,,,,,,,,,,,,,,,
Frequency,50hz,60hz,2.4 Ghz,,,,,,,,,,,,,
Usage,Industrial,Universal,Sewing Machine,Electric Tool,Water,hair Dryer,hair Dryer,electric Bicycle,Boat,car,home Appliance,,,,,
