Crane Motors,,,,,,,,,,
Voltage,380v  ,220v   ,24v ,110v  ,Low Voltage ,230v  ,415v  ,460v ,660v ,Design As Requirment 
Power,11kw ,0.18KW ,1.5kw ,5.5kw ,315kw ,0.4kw ,0.75kw ,1kw ,200kw,40.5KW 
Speed,1440 rpm ,Single Speed ,Doulbe Speed ,1000rpm ,Constant Speed ,25rpm,750rpm ,600rpm,,
Phase,Three Phase ,Single Phase ,,,,,,,,
Frequency,50hz,60hz,,,,,,,,
Usage,Construction Hoist ,Industrial,Mining Hoist ,lifting Equipment ,Electric Hoist ,Feeder,Lifting Machine ,Vibrating Screen,Construction ,
