Auto Motors,,,,,,,,,,
voltage,48v,,208v,230v,240 V,380v,60v,,,
power,3kw,2.2kw,2kw,5kw,2.3kw,2.7kw,7.5kw,60w,0.75kw,150kw
speed,high speed,,,,,,,,,
phase,single phase,three phase,,,,,,,,
frequency,50hz,60hz,,,,,,,,
usage,fan,universal,auto,household appliance,Industrial Equipment,Auto & Motor,Balancing Machine,water,Motor Bike Jackets,
