Air Motors,,,,,,,,,,
Voltage,380v,12v,220v,440v,24v,6v,415v,3v,208v,230v
Power,0.37kw,5kw,3kw,2.2kw,1.5kw,7.5kw,45kw,15kw,230kw,
Speed,3600rpm,3000rpm,1500rpm,1800rpm,30000rpm,40000rpm,,,,
Phase,single phase,three phase,,,,,,,,
Frequency,50hz,60hz,,,,,,,,
Usage,airpump,water,universal,turck,dentist working partner,fan,,,,
