Underwater Motors,,,,,,,,,,
Voltage,208v,230v,20v,380v,220v,415v,110v,400v,440v,100v
Power,315kw,0.75kw,0.12kw,0.18kw,0.09kw,18.5kw,40kw,0.37kw,10kw,90kw
Speed,1832rpm,1832-3330rpm,30rpm,30rpm,300rpm,4500rpm,1000rpm,30000rpm,,
Phase,three phase,single phase,,,,,,,,
Frequency,50hz,60hz,868mhz,,,,,,,
Usage,water,universal,industrial,automatic doors,pump,boat.car.home appliance,"vibrating screen, feeder",home appliance,,
