Trolling Motors,,,,,,,,,,,
Voltage,12v,24v,220v,230v,380v,415v,460v,660v,48v,6v,
Power,40w,500w,10w,60w,5-80w,120w,30w,696w,25w,50w,
Speed,3000rpm,1800rpm,1500rpm,1000rpm,1700rpm,2600rpm,1050rpm,10500rpm,8600rpm,50rpm,
Phase,three phase,single phase,,,,,,,,,
Frequency,50hz,60hz,,,,,,,,,
Usage,motorcycle/scooter,motorcycle,construction hoist,vibrating screen,feeder,vibrating screen/feeder,boat,for fishing,universal,household appliance,fan
